days_until_deact	count_users	deacts_actual	deacts_pred	pct_deact_actual	pct_deact_pred	accuracy	avg_prob_deact	pred_over_actual_deacts	diff_pct_deact
71.0	4137	3389	4128	0.81919265168	0.997824510515	0.819434372734	0.82288222633	1.21805842431	0.178631858835
72.0	4135	3441	4119	0.832164449819	0.996130592503	0.833131801693	0.826101654807	1.19703574542	0.163966142684
73.0	4982	4122	4968	0.827378562826	0.997189883581	0.828181453232	0.82759458651	1.20524017467	0.169811320755
74.0	5068	4135	5056	0.81590370955	0.997632202052	0.816692975533	0.825397824181	1.22273276904	0.181728492502
75.0	4923	4085	4908	0.82977859029	0.996953077392	0.829169205769	0.825486014582	1.20146878825	0.167174487101
76.0	4522	3726	4511	0.823971693941	0.997567448032	0.824192835029	0.822751230422	1.21068169619	0.173595754091
77.0	3712	3116	3698	0.839439655172	0.996228448276	0.838362068966	0.820530151818	1.18677792041	0.156788793103
78.0	3571	2981	3556	0.834780173621	0.99579949594	0.835620274433	0.814049819226	1.19288829252	0.161019322319
79.0	4841	4055	4822	0.83763685189	0.996075191076	0.838669696344	0.818860380957	1.18914919852	0.158438339186
80.0	5138	4260	5111	0.829116387699	0.994745036979	0.830089529	0.813449642174	1.19976525822	0.16562864928
81.0	4742	3930	4730	0.8287642345	0.997469422185	0.829185997469	0.815115969145	1.20356234097	0.168705187685
82.0	5580	4665	5569	0.836021505376	0.998028673835	0.835842293907	0.820529091746	1.19378349411	0.162007168459
83.0	5543	4669	5531	0.842323651452	0.997835107343	0.843045282338	0.822205886615	1.18462197473	0.15551145589
84.0	4664	3833	4651	0.821826758148	0.997212692967	0.821183533448	0.81401606445	1.21340986173	0.17538593482
85.0	4156	3405	4139	0.819297401347	0.995909528393	0.818575553417	0.810290463105	1.21556534508	0.176612127045
86.0	3897	3215	3883	0.824993584809	0.996407492943	0.82653323069	0.815430129198	1.20777604977	0.171413908134
87.0	3610	2925	3599	0.810249307479	0.996952908587	0.81108033241	0.815703518741	1.23042735043	0.186703601108
88.0	4311	3467	4299	0.804221758293	0.997216423104	0.804221758293	0.810756088583	1.2399769253	0.192994664811
89.0	4456	3563	4435	0.799596050269	0.995287253142	0.799820466786	0.810035919125	1.24473758069	0.195691202873
90.0	4883	3894	4868	0.797460577514	0.99692811796	0.79766536965	0.81317782365	1.25012840267	0.199467540446
91.0	4486	3686	4473	0.821667409719	0.997102095408	0.821444493981	0.815546197608	1.21351058058	0.175434685689
92.0	4985	3966	4959	0.795586760281	0.994784353059	0.797592778335	0.811525930889	1.25037821483	0.199197592778
93.0	4120	3287	4101	0.797815533981	0.995388349515	0.797572815534	0.805134922058	1.24764222695	0.197572815534
94.0	3966	3226	3949	0.813414019163	0.995713565305	0.81366616238	0.810855615051	1.22411655301	0.182299546142
95.0	4216	3419	4203	0.810958254269	0.996916508539	0.809297912713	0.816389962167	1.22930681486	0.185958254269
96.0	4805	3913	4787	0.814360041623	0.996253902185	0.814360041623	0.816111032335	1.22335803731	0.181893860562
97.0	4590	3663	4574	0.798039215686	0.99651416122	0.799782135076	0.810921170871	1.2487032487	0.198474945534
98.0	3820	3066	3806	0.802617801047	0.996335078534	0.803664921466	0.811901800337	1.2413568167	0.193717277487
99.0	3764	3024	3752	0.80340063762	0.996811902232	0.803931987248	0.815085005376	1.24074074074	0.193411264612
100.0	3659	2970	3644	0.811697185023	0.995900519268	0.810330691446	0.811936913412	1.22693602694	0.184203334244
101.0	3812	3013	3798	0.790398740818	0.996327387198	0.792497376705	0.80670084479	1.2605376701	0.20592864638
102.0	4028	3205	4008	0.795680238332	0.995034756703	0.79865938431	0.806648215294	1.25054602184	0.199354518371
103.0	4378	3464	4360	0.791228871631	0.995888533577	0.793969849246	0.810349894725	1.25866050808	0.204659661946
104.0	4951	3935	4925	0.794788931529	0.994748535649	0.797212684306	0.809948441635	1.25158831004	0.19995960412
105.0	4399	3437	4384	0.781313934985	0.996590134121	0.781995908161	0.805810016518	1.27553098633	0.215276199136
106.0	4068	3231	4043	0.794247787611	0.993854473943	0.797935103245	0.80688485941	1.25131538223	0.199606686332
107.0	3895	3037	3876	0.77971758665	0.99512195122	0.782541720154	0.806421291241	1.27625946658	0.21540436457
108.0	3938	3064	3923	0.778059928898	0.996190959878	0.780345352971	0.807452617662	1.28035248042	0.21813103098
109.0	4245	3295	4223	0.776207302709	0.994817432273	0.778563015312	0.807143412521	1.28163884674	0.218610129564
110.0	5103	3909	5058	0.766019988242	0.991181657848	0.77013521458	0.801611919063	1.2939370683	0.225161669606
111.0	5267	4062	4664	0.771217011582	0.88551357509	0.772925764192	0.715674847102	1.14820285574	0.114296563509
