days_until_deact	count_users	deacts_actual	deacts_pred	avg_log_loss	avg_prob_deact	accuracy	pct_deact_actual	pct_deact_pred	pred_over_actual_deacts	diff_pct_deact
43.0	7027	6291	5574	0.35141882942	0.793321609728	0.89497651914	0.89526113562	0.793226127793	0.88602765856	-0.102035007827
44.0	6423	5723	5077	0.363079980101	0.790489255322	0.891172349369	0.891016658882	0.790440604079	0.887122138738	-0.100576054803
45.0	5046	4475	3996	0.366389598886	0.792058523097	0.887039239001	0.886841062228	0.791914387634	0.892960893855	-0.0949266745937
46.0	4995	4520	3964	0.342868719499	0.793636979802	0.902702702703	0.904904904905	0.793593593594	0.876991150442	-0.111311311311
47.0	6158	5563	4886	0.34287812519	0.793499277732	0.90240337772	0.903377720039	0.793439428386	0.878303073881	-0.109938291653
48.0	6410	5750	5088	0.351728278236	0.793798364377	0.895631825273	0.897035881435	0.79375975039	0.884869565217	-0.103276131045
49.0	6098	5475	4844	0.350824915102	0.794513440139	0.897999344047	0.897835355854	0.794358806166	0.884748858447	-0.103476549688
50.0	5607	4951	4428	0.367337321616	0.789744762309	0.882111646157	0.883003388621	0.789727126806	0.894364774793	-0.0932762618156
51.0	4687	4172	3699	0.361468302785	0.789209603221	0.888841476424	0.890121612972	0.789204181779	0.886625119847	-0.100917431193
52.0	4487	4045	3542	0.346690700321	0.789561922858	0.90104747047	0.901493202585	0.789391575663	0.87564894932	-0.112101626922
53.0	6316	5674	5012	0.350019625769	0.793584415617	0.896611779607	0.89835338822	0.793540215326	0.883327458583	-0.104813172894
54.0	6449	5796	5103	0.349984022882	0.791436106204	0.898743991316	0.898743991316	0.791285470616	0.880434782609	-0.107458520701
55.0	6184	5535	4888	0.35699548065	0.790472650672	0.893272962484	0.895051746442	0.79042690815	0.883107497742	-0.104624838292
56.0	7182	6395	5697	0.357253522396	0.793286407127	0.889167362852	0.890420495684	0.793233082707	0.890852228303	-0.0971874129769
57.0	7347	6600	5828	0.348925097727	0.793288295647	0.896964747516	0.898325847285	0.793248945148	0.88303030303	-0.105076902137
58.0	5804	5156	4584	0.360026850258	0.789829840188	0.886974500345	0.888352860096	0.789800137836	0.88906128782	-0.0985527222605
59.0	5287	4678	4172	0.365807998974	0.789117918686	0.88424437299	0.884811802535	0.789105352752	0.891834117144	-0.0957064497825
60.0	4810	4272	3783	0.366566878962	0.786522367793	0.887733887734	0.88814968815	0.786486486486	0.885533707865	-0.101663201663
61.0	4671	4137	3678	0.371031953821	0.787437405134	0.882894455149	0.8856775851	0.787411689146	0.889050036258	-0.0982658959538
62.0	5330	4689	4189	0.374296461623	0.785973467447	0.880487804878	0.879737335835	0.785928705441	0.893367455747	-0.093808630394
63.0	5634	4994	4423	0.371633291672	0.785105066079	0.884096556621	0.886403975861	0.785055023074	0.885662795354	-0.101348952787
64.0	6015	5256	4730	0.382353907432	0.786423167844	0.873981712386	0.873815461347	0.786367414796	0.899923896499	-0.0874480465503
65.0	5490	4826	4324	0.374106878488	0.787635242633	0.878324225865	0.879052823315	0.787613843352	0.89598010775	-0.0914389799636
66.0	5987	5258	4688	0.37646994986	0.783078572916	0.875396692834	0.878236178387	0.783029898113	0.891593761887	-0.0952062802739
67.0	4911	4249	3856	0.390291483778	0.785301105121	0.865200570149	0.865200570149	0.785176135207	0.907507648859	-0.080024434942
68.0	5053	4348	3969	0.395660248774	0.785540239258	0.859687314467	0.860478923412	0.785473975856	0.912833486661	-0.0750049475559
69.0	5413	4760	4275	0.374965196249	0.789911992399	0.876962867172	0.879364492887	0.789765379642	0.898109243697	-0.0895991132459
